"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"640","Thiruvallur","Tamil Nadu","VENUGOPAL.P","M","SC",57,"ADMK",368294,1,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"641","Thiruvallur","Tamil Nadu","GAYATHRI.S","F","SC",30,"DMK",336621,2,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"642","Thiruvallur","Tamil Nadu","SURESH.R","M","SC",35,"DMDK",110452,3,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"643","Thiruvallur","Tamil Nadu","ANANDAN.P","M","SC",34,"BSP",10746,4,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"644","Thiruvallur","Tamil Nadu","JEEVARATHINAM.M","M","SC",53,"IND",4855,5,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"645","Thiruvallur","Tamil Nadu","ELANGO INBARAJ.V","M","SC",28,"IND",4841,6,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"646","Thiruvallur","Tamil Nadu","SUDHARSAN.M.S","M","SC",49,"JD(U)",3692,7,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"647","Thiruvallur","Tamil Nadu","VENUGOPAL.P","M","SC",35,"IND",2758,8,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"648","Thiruvallur","Tamil Nadu","RAJAN.K","M","SC",41,"IND",2134,9,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"649","Thiruvallur","Tamil Nadu","SAMPATH.A","M","SC",40,"IND",1441,10,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"650","Thiruvallur","Tamil Nadu","ETHIRAJ.A","M","SC",43,"IND",1137,11,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"651","Thiruvallur","Tamil Nadu","NAGALINGAM.K.M","M","SC",46,"IND",1017,12,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"652","Thiruvallur","Tamil Nadu","PANDURANGAN.V","M","SC",37,"IND",863,13,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
"653","Thiruvallur","Tamil Nadu","SELVARAJ.A","M","SC",29,"IND",768,14,849754,1204209,14,70.56532545,3728104,3325823,143093,"987","84.03%",NA
