,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
60,Ambedkar Nagar,Uttar Pradesh,BHARTHARI,M,SC,44,BRPP,1594,21,811692,1494838,22,54.29966324,2397888,1985654,401678,978,72.23,0,Post Graduate,718400,0,0,0,0
61,Amethi,Uttar Pradesh,RAHUL GANDHI,M,GEN,38,INC,464195,1,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,1,Post Graduate,23274706,0,1,0,0
62,Amethi,Uttar Pradesh,ASHEESH SHUKLA,M,GEN,48,BSP,93997,2,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,Post Graduate,8701047,0,0,0,0
63,Amethi,Uttar Pradesh,PRADEEP KUMAR SINGH,M,GEN,39,BJP,37570,3,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,Post Graduate,11435740,0,0,1,0
64,Amethi,Uttar Pradesh,BHUWAL,M,GEN,56,JPS,10396,4,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,12th Pass,635335,0,0,0,0
65,Amethi,Uttar Pradesh,MOHD.HASAN LAHARI,M,GEN,35,BRPP,3789,8,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,8th Pass,4557000,0,0,1,0
66,Amethi,Uttar Pradesh,SUNITA,F,SC,26,MAP,1816,12,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,8th Pass,91000,1,0,0,0
67,Amethi,Uttar Pradesh,SURYABHAN MAURYA,M,GEN,45,RASD,1390,16,646650,1431787,16,45.16384071,3405559,2975998,413243,NA,,0,12th Pass,420000,0,0,0,0
68,Amroha,Uttar Pradesh,DEVENDRA NAGPAL,M,GEN,38,RLD,283182,1,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,Graduate,132425712,0,1,6,1
69,Amroha,Uttar Pradesh,MEHBOOB ALI,M,GEN,56,SP,191099,2,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,12th Pass,19351072,0,0,11,1
