"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"786","Kannauj","Uttar Pradesh","RAM SWAROOP","M","GEN",70,"JPS",1408,11,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"787","Kannauj","Uttar Pradesh","LAL SINGH","M","GEN",40,"IND",1357,12,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"788","Kannauj","Uttar Pradesh","NARAYAN KUMAR","M","GEN",39,"RDMP",1189,13,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"789","Kannauj","Uttar Pradesh","RAM BABU","M","GEN",37,"IND",806,14,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"790","Kannauj","Uttar Pradesh","RAM BABU TRIVEDI","M","GEN",62,"BPD",790,15,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"791","Kannauj","Uttar Pradesh","PRADEEP","M","GEN",35,"IND",634,16,741957,1504276,16,49.32319601,1656616,1375788,273967,"879","72.7%","SP"
"792","Kanpur","Uttar Pradesh","SRI PRAKASH JAISWAL","M","GEN",64,"INC",214988,1,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"793","Kanpur","Uttar Pradesh","SATISH MAHANA","M","GEN",48,"BJP",196082,2,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"794","Kanpur","Uttar Pradesh","SUKHDA MISHRA","F","GEN",67,"BSP",48374,3,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"795","Kanpur","Uttar Pradesh","SURENDRA MOHAN AGRAWAL","M","GEN",65,"SP",34919,4,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"796","Kanpur","Uttar Pradesh","AHAMED HUSSAIN","M","GEN",68,"IND",3728,5,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"797","Kanpur","Uttar Pradesh","OMENDRA BHARAT","M","GEN",29,"BPD",3237,6,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"798","Kanpur","Uttar Pradesh","MAYA KAUSHAL","F","GEN",55,"IND",2503,7,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"799","Kanpur","Uttar Pradesh","MOHAMMD ISHA","M","GEN",34,"IND",2394,8,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"800","Kanpur","Uttar Pradesh","NISHA","F","GEN",38,"IND",1463,9,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"801","Kanpur","Uttar Pradesh","V.N.AWASTHI","M","GEN",75,"IND",1274,10,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"802","Kanpur","Uttar Pradesh","MAHESH CHANDRA SHARMA","M","GEN",65,"IND",767,11,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"803","Kanpur","Uttar Pradesh","ANIL KUMAR JAIN","M","GEN",49,"IND",563,12,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"804","Kanpur","Uttar Pradesh","BADRI VISHAL PRAJAPATI","M","GEN",35,"IND",522,13,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"805","Kanpur","Uttar Pradesh","JAGDISH PRASAD","M","GEN",48,"ABHM",503,14,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"806","Kanpur","Uttar Pradesh","GUFRAN  AHMED","M","GEN",49,"RWSP",450,15,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"807","Kanpur","Uttar Pradesh","JAGESWAR DAYAL 1 VIKAL ORAI","M","GEN",49,"IND",389,16,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"808","Kanpur","Uttar Pradesh","GAYA PRASAD","M","GEN",55,"IND",365,17,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"809","Kanpur","Uttar Pradesh","MOTI LAL SHARMA","M","GEN",59,"IJP",357,18,512921,1390055,18,36.89933132,1796184,1612968,176327,"862","79.65%","INC"
"810","Kaushambi","Uttar Pradesh","SHAILENDRA KUMAR","M","SC",51,"SP",246501,1,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"811","Kaushambi","Uttar Pradesh","GIRISH CHANDRA PASI","M","SC",39,"BSP",190712,2,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"812","Kaushambi","Uttar Pradesh","RAM NIHOR RAKESH","M","SC",64,"INC",40765,3,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"813","Kaushambi","Uttar Pradesh","GAUTAM CHAUDHARY","M","SC",44,"BJP",30475,4,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"814","Kaushambi","Uttar Pradesh","UMESH CHANDRA PASI","M","SC",40,"AD",18799,5,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"815","Kaushambi","Uttar Pradesh","RAM SARAN","M","SC",56,"IND",11570,6,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"816","Kaushambi","Uttar Pradesh","MAN SINGH","M","SC",28,"IND",3973,7,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"817","Kaushambi","Uttar Pradesh","JAGDEO","M","SC",53,"IND",3041,8,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"818","Kaushambi","Uttar Pradesh","GULAB SONKAR","M","SC",45,"IJP",2975,9,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"819","Kaushambi","Uttar Pradesh","GULAB CHANDRA","M","SC",39,"IND",2500,10,551601,1391312,10,39.64610382,1599596,1372381,220423,"908","61.28%",NA
"820","Kheri","Uttar Pradesh","ZAFAR ALI NAQVI","M","GEN",61,"INC",184982,1,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"821","Kheri","Uttar Pradesh","ILIYAS AZMI","M","GEN",68,"BSP",176205,2,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"822","Kheri","Uttar Pradesh","AJAY KUMAR","M","GEN",50,"BJP",162850,3,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"823","Kheri","Uttar Pradesh","RAVI PRAKASH VERMA","M","GEN",49,"SP",153491,4,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"824","Kheri","Uttar Pradesh","MUJEEB KHAN","M","GEN",38,"IND",8782,5,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"825","Kheri","Uttar Pradesh","MOHD. ILIYAS","M","GEN",49,"IND",3965,6,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"826","Kheri","Uttar Pradesh","BAJRANGI LAL","M","GEN",36,"IND",3859,7,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"827","Kheri","Uttar Pradesh","KASHINATH SINGH","M","GEN",49,"JPS",3712,8,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"828","Kheri","Uttar Pradesh","RAMDARASH","M","GEN",45,"CPI(ML)(L)",2803,9,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"829","Kheri","Uttar Pradesh","ANIL KISHORE","M","GEN",41,"LD",2777,10,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"830","Kheri","Uttar Pradesh","ARVIND","M","GEN",33,"IND",2585,11,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"831","Kheri","Uttar Pradesh","ANUPAM VERMA","M","GEN",30,"AD",1949,12,708055,1297088,12,54.58804645,4021243,3078262,807600,"894","60.56%","SP"
"832","Kushi Nagar","Uttar Pradesh","KU. RATANJEET PRATAP NARAYAN SINGH","M","GEN",45,"INC",223954,1,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"833","Kushi Nagar","Uttar Pradesh","SWAMI PRASAD MAURYA","M","GEN",54,"BSP",202860,2,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"834","Kushi Nagar","Uttar Pradesh","VIJAY DUBEY","M","GEN",41,"BJP",162189,3,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"835","Kushi Nagar","Uttar Pradesh","BRAMHA SHANKER TRIPATHI","M","GEN",56,"SP",55223,4,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"836","Kushi Nagar","Uttar Pradesh","KISHOR KUMAR","M","GEN",40,"IPP",18726,5,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"837","Kushi Nagar","Uttar Pradesh","JANGI","M","GEN",55,"SBSP",13534,6,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"838","Kushi Nagar","Uttar Pradesh","DAROGA","M","GEN",37,"IND",10687,7,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"839","Kushi Nagar","Uttar Pradesh","JAI GOVIND","M","GEN",35,"IND",7628,8,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"840","Kushi Nagar","Uttar Pradesh","RAM BRIKSH","M","GEN",54,"IND",5955,9,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"841","Kushi Nagar","Uttar Pradesh","JAGDISH","M","GEN",57,"IND",5592,10,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"842","Kushi Nagar","Uttar Pradesh","AMEERUDDIN","M","GEN",31,"IND",5147,11,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"843","Kushi Nagar","Uttar Pradesh","ANIL","M","GEN",43,"RPI(A)",4378,12,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"844","Kushi Nagar","Uttar Pradesh","RAMESH","M","GEN",35,"IND",3141,13,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"845","Kushi Nagar","Uttar Pradesh","MATIULLAH","M","GEN",43,"NLHP",2879,14,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"846","Kushi Nagar","Uttar Pradesh","MADAN LAL","M","GEN",46,"MADP",2483,15,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"847","Kushi Nagar","Uttar Pradesh","BABU LAL","M","GEN",40,"BRPP",2440,16,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"848","Kushi Nagar","Uttar Pradesh","K KUMAR","M","GEN",56,"PRBD",2204,17,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
"849","Kushi Nagar","Uttar Pradesh","DHEERAJ SHEKHAR SHRIWASTAWA","M","GEN",49,"RALOP",2021,18,731275,1438263,18,50.84431707,3564544,2928462,620244,"961","65.25%",NA
