,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
110,DAMOH,Madhya Pradesh,HARIRAM THAKUR,M,ST,38,GGP,2992,12,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
111,DAMOH,Madhya Pradesh,SHIVRAJ SINGH BANDA,M,GEN,34,IND,2526,13,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
112,DAMOH,Madhya Pradesh,VIJAY SINGH RAJPOOT,M,GEN,32,IND,2123,14,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
113,DAMOH,Madhya Pradesh,GOPAL BHAIYA,M,GEN,45,IND,1794,15,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
114,DAMOH,Madhya Pradesh,SHIVRAJ SINGH NAYAKHEDA APPCHAND,M,GEN,35,IND,1770,16,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
115,DAMOH,Madhya Pradesh,CHANDRABHAN BHAIYA JATASHANKAR COLONY DAMOH,M,GEN,45,IND,1600,17,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
116,DAMOH,Madhya Pradesh,BHAGIRATH KURMI,M,GEN,64,RDMP,1327,18,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
117,DAMOH,Madhya Pradesh,GAFFAR ALI,M,GEN,70,IND,1311,19,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
118,DAMOH,Madhya Pradesh,MANOJ DEVALIYA,M,GEN,28,BJBP,1253,20,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
119,DAMOH,Madhya Pradesh,SHIVRAJ BHAIYA,M,GEN,36,SVSP,1136,21,599184,1357985,21,44.1230205,1264219,1186420,47966,910,69.73%,BJP,0
120,DEWAS,Madhya Pradesh,SAJJAN SINGH VERMA,M,SC,57,INC,376421,1,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
121,DEWAS,Madhya Pradesh,THAVARCHAND GEHLOT,M,SC,61,BJP,360964,2,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,1
122,DEWAS,Madhya Pradesh,BHAGIRATH PARIHAR,M,SC,56,BSP,10743,3,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
123,DEWAS,Madhya Pradesh,MOHAN SIH MALVIYA,M,SC,28,IND,7890,4,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
124,DEWAS,Madhya Pradesh,DR. GANGARAM JOGCHAND,M,SC,34,LJP,6348,5,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
125,DEWAS,Madhya Pradesh,THAVARSINGH,M,SC,48,IND,5989,6,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
126,DEWAS,Madhya Pradesh,JORAVAR SINGH DUDI,M,SC,66,PRSP,4541,7,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
127,DEWAS,Madhya Pradesh,JAYRAM SOLANKI,M,SC,33,IND,3650,8,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
128,DEWAS,Madhya Pradesh,PRO. B.S. MALVIYA,M,SC,66,IND,3196,9,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
